,title,rating,votes,author,recommendations,descriptions,ranking,votes_z,recommendations_z
60,The Woman in the Window,4.3,131344,A. J Finn,0,0,61,0.32918806041946064,-0.9867543820659301
61,Too Much and Never Enough,4.5,119843,Mary L. Trump,0,1,62,0.19743525778202503,-0.9867543820659301
62,The Hunger Games,4.7,88030,Suzanne Collins,1,0,63,-0.16700713073242934,-0.6533914151517646
63,Hillbilly Elegy,4.3,95837,J. D. Vance,1,0,64,-0.07757193986289973,-0.6533914151517646
64,The Vanishing Half,4.4,121301,Brit Bennett,0,0,65,0.21413776941104695,-0.9867543820659301
65,A Little Life,4.5,69236,Hanya Yanagihara,2,1,66,-0.3823068588228532,-0.32002844823759896
66,Wild,4.4,70452,Cheryl Strayed,2,1,67,-0.36837664336270876,-0.32002844823759896
67,The Three-Body Problem,4.3,41408,Cixin Liu,4,1,68,-0.7010980067051729,0.3466974855907322
68,The Power of Habit,4.6,37856,Charles Duhigg,4,1,69,-0.7417888992334897,0.3466974855907322
69,The Name of the Wind,4.7,79903,Patrick Rothfuss,1,1,70,-0.2601081677756812,-0.6533914151517646
70,Shantaram,4.6,36558,Gregory David Roberts,4,1,71,-0.7566584877756505,0.3466974855907322
71,The Extraordinary Life of Sam Hell,4.6,80272,Robert Dugoni,1,1,72,-0.2558809889066077,-0.6533914151517646
72,This Is Going to Hurt,4.6,101233,Adam Kay,0,1,73,-0.015756608758508577,-0.9867543820659301
73,"Tomorrow, and Tomorrow, and Tomorrow",4.4,80610,Gabrielle Zevin,1,1,74,-0.2520089388856136,-0.6533914151517646
74,The Lincoln Highway,4.4,80587,Amor Towles,1,1,75,-0.25227242157934987,-0.6533914151517646
75,The Body Keeps the Score,4.8,72698,Bessel van der Kolk,1,1,76,-0.3426469855308958,-0.6533914151517646
76,The Obstacle Is the Way,4.6,26538,Ryan Holiday,5,1,77,-0.871445296090328,0.6800604525048978
77,A Game of Thrones,4.7,73818,George R. R. Martin,1,1,78,-0.329816523922868,-0.6533914151517646
78,An American Marriage,4.3,61147,Tayari Jones,2,1,79,-0.47497257663297554,-0.32002844823759896
79,The Song of Achilles,4.6,95456,Madeline Miller,0,0,80,-0.08193658796348777,-0.9867543820659301
80,Atlas Shrugged,4.5,19942,Ayn Rand,6,1,81,-0.9470075503461775,1.0134234194190634
81,The Miracle Morning,4.6,32913,Hal Elrod,0,1,82,-0.7984147668482053,-0.9867543820659301
82,The Power of Your Subconscious Mind,4.6,71556,Joseph Murphy,1,1,83,-0.355729474063367,-0.6533914151517646
83,Animal Farm,4.7,69933,George Orwell,1,1,84,-0.37432218762571445,-0.6533914151517646
84,The Rosie Project,4.3,76254,Graeme Simsion,1,0,85,-0.3019102699254075,-0.6533914151517646
85,Steve Jobs,4.7,24068,Walter Isaacson,5,1,86,-0.8997410462437464,0.6800604525048978
86,The Dutch House,4.4,73327,Ann Patchett,1,0,87,-0.33544130664567307,-0.6533914151517646
87,Pachinko,4.5,71516,Min Jin Lee,1,0,88,-0.35618770483508233,-0.6533914151517646
88,Bad Blood,4.7,39879,John Carreyrou,3,1,89,-0.7186138779539895,0.013334518676566636
89,Deep Work,4.6,31093,Cal Newport,4,1,90,-0.8192642669612505,0.3466974855907322
90,The Untethered Soul,4.7,39499,Michael A. Singer,3,1,91,-0.7229670702852846,0.013334518676566636
91,The Hobbit,4.7,66354,J. R. R. Tolkien,1,1,92,-0.4153223859249391,-0.6533914151517646
92,I'm Glad My Mom Died,4.7,64882,Jennette McCurdy,1,1,93,-0.43218527832406134,-0.6533914151517646
93,The Boys in the Boat,4.6,85943,Daniel James Brown,0,1,94,-0.190915321246674,-0.9867543820659301
94,Untamed,4.6,66099,Glennon Doyle,1,1,95,-0.418243607094624,-0.6533914151517646
95,Midnight Sun,4.8,82211,Stephenie Meyer,0,0,96,-0.23366825224770957,-0.9867543820659301
96,The Underground Railroad,4.4,67475,Colson Whitehead,1,1,97,-0.4024804685476184,-0.6533914151517646
97,The Catcher in the Rye,4.4,39916,J.D. Salinger,3,1,98,-0.7181900144901529,0.013334518676566636
98,Extreme Ownership,4.8,36297,"Jocko Willink, Leif Babin",3,1,99,-0.7596484435610927,0.013334518676566636
99,Daisy Jones & The Six,4.4,84509,Taylor Jenkins Reid,0,1,100,-0.20734289441266676,-0.9867543820659301
